length_of_stay_days,pet_type,pet_age,size,shedding,coat_length,temperament,breed_type,adoption_fee,gender,is_mix,shots_up_to_date,spayed_neutered,hypoallergenic,housebroken,special_need,gets_along_with_cats,gets_along_with_dogs,gets_along_with_kids,courtesy_post,cross_post,litter,parent_of_litter,primary_breed,secondary_breed,third_breed,fourth_breed,bully_breed,popular_breed,bonded_pair,age_total_months,sentiment_score,record_type,subtype,had_medical
80,dog,nan,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,no,not sure,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
70,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
61,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
57,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
56,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
57,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
57,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
79,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
56,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
56,dog,nan,nan,nan,nan,nan,nan,nan,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,pit bull terrier,,,,no,no,no,36.0,0.0,,,no
16,dog,puppy,small,sheds a little,nan,nan,nan,765,female,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,chihuahua,yorkie,,,no,no,no,24.0,0.0,,,no
51,dog,senior,small,nan,nan,nan,nan,350,female,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,yes,156.0,0.0,,,no
146,dog,adult,small,nan,nan,nan,nan,350,male,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,shih tzu,,,,no,no,no,101.0,0.0,,,no
50,dog,puppy,large,sheds a lot,nan,nan,nan,465,female,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,german shepherd dog,,,,no,no,no,23.0,0.0,,,no
69,dog,puppy,medium,nan,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,31 flavors mixes,mix,,,no,no,no,23.0,0.0,,,no
181,dog,young,large,nan,nan,nan,nan,450,male,yes,yes,not sure,no,yes,not sure,no,not sure,no,no,no,no,no,black mouth cur,german shepherd dog,,,no,no,no,58.0,0.0,,,no
27,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,no,no,dachshund,corgi,,,no,yes,no,63.0,0.0,,,no
129,dog,young,medium,nan,nan,nan,nan,200,female,yes,yes,yes,no,yes,no,not sure,not sure,not sure,no,no,no,no,german shepherd dog,husky,,,no,no,no,74.0,0.0,,,no
318,dog,young,medium,nan,nan,nan,nan,315,female,yes,yes,yes,no,yes,no,not sure,yes,no,no,no,no,no,boxer,,,,no,no,no,58.0,0.0,,,no
21,dog,puppy,large,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,golden retriever,,,,no,yes,no,41.0,0.0,,,no
20,dog,puppy,large,nan,nan,nan,nan,450,male,yes,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,pit bull terrier,mastiff,,,no,no,no,41.0,0.0,,,no
27,dog,senior,medium,nan,nan,nan,nan,300,female,yes,yes,yes,no,yes,not sure,yes,yes,yes,no,no,no,no,blue heeler,,,,no,no,no,136.0,0.0,,,no
36,dog,senior,large,sheds a little,nan,nan,nan,265,male,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,pit bull terrier,,,,no,no,no,162.0,0.0,,,no
606,dog,adult,medium,nan,nan,nan,nan,350,male,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,boxer,pit bull terrier,,,no,no,no,62.0,0.0,"medications, medications, medications, medications",,yes
427,dog,adult,large,nan,nan,nan,nan,315,female,yes,yes,yes,no,not sure,not sure,no,no,no,no,no,no,no,german shepherd dog,belgian malinois,,,no,no,no,107.0,0.0,"surgery/procedures, medications",dental prophylaxis,yes
3,dog,adult,small,not available,nan,nan,nan,465,nan,yes,yes,yes,yes,yes,not sure,not sure,not sure,not sure,no,no,no,no,bichon frise,miniature poodle,,,no,no,no,71.0,0.0,,,no
51,dog,senior,small,nan,nan,nan,nan,350,female,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,chihuahua,rat terrier,,,no,no,yes,156.0,0.0,,,no
17,dog,adult,small,nan,nan,nan,nan,400,female,no,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,no,no,papillon,,,,no,no,no,110.0,0.0,,,no
46,dog,senior,small,nan,short,nan,purebreed,250,female,no,yes,yes,yes,no,not sure,not sure,yes,not sure,no,no,no,no,shih tzu,,,,no,no,no,189.0,0.0,surgery/procedures,dental prophylaxis,yes
27,dog,young,small,nan,nan,nan,nan,565,female,yes,yes,yes,not sure,yes,not sure,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,31.0,0.0,,,no
14,dog,young,small,no shedding,nan,nan,nan,495,female,nan,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,no,no,no,no,maltese,,,,no,no,no,29.0,0.0,surgery/procedures,dental prophylaxis,yes
16,dog,young,small,nan,nan,nan,nan,450,female,yes,yes,yes,no,yes,not sure,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,55.0,0.0,,,no
0,dog,young,medium,nan,nan,nan,nan,400,female,yes,yes,yes,no,not sure,not sure,not sure,yes,yes,no,no,no,no,australian shepherd,labrador retriever,,,no,yes,no,38.0,0.0,,,no
14,dog,puppy,small,sheds a little,nan,nan,nan,515,male,yes,yes,yes,yes,not sure,not sure,yes,yes,yes,no,no,no,no,yorkshire terrier,poodles (all types),,,no,yes,no,18.0,0.0,,,no
83,dog,adult,small,nan,nan,nan,nan,250,male,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,maltese,,,,no,no,no,117.0,0.0,surgery/procedures,dental prophylaxis,yes
21,dog,young,small,sheds a little,nan,nan,nan,425,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,chihuahua,poodles (all types),,,no,no,no,46.0,0.0,,,no
31,dog,adult,large,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,no,not sure,yes,yes,no,no,no,no,german shepherd dog,,,,no,no,no,91.0,0.0,,,no
15,dog,young,small,sheds a lot,nan,nan,nan,550,male,no,yes,yes,no,no,no,yes,yes,not sure,no,no,no,no,corgi,,,,no,no,no,41.0,0.0,,,no
0,dog,adult,small,nan,nan,nan,nan,350,male,no,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,pomeranian,,,,no,no,no,117.0,0.0,,,no
15,dog,adult,medium,nan,nan,nan,nan,495,male,no,yes,yes,no,yes,not sure,yes,not sure,yes,no,no,no,no,english bulldog,,,,no,no,no,107.0,0.0,,,no
48,dog,adult,medium,nan,nan,nan,nan,350,female,yes,not sure,yes,no,yes,yes,yes,yes,yes,no,no,no,no,labrador retriever,,,,no,yes,no,73.0,0.0,,,no
235,dog,adult,medium,sheds a little,nan,nan,nan,285,female,yes,yes,yes,no,yes,no,yes,yes,not sure,no,no,no,no,pit bull terrier,,,,no,no,no,39.0,0.0,"medications, medications",,yes
21,dog,young,large,sheds a lot,nan,nan,nan,465,female,no,yes,yes,no,not sure,no,not sure,yes,not sure,no,no,no,no,german shepherd dog,,,,no,no,no,40.0,0.0,,,no
25,dog,puppy,small,nan,nan,nan,nan,450,female,no,yes,not sure,yes,no,yes,not sure,not sure,not sure,no,no,no,no,maltese,,,,no,no,no,52.0,0.0,,,no
14,dog,young,small,sheds a little,nan,nan,nan,565,female,yes,yes,yes,yes,not sure,no,not sure,yes,yes,no,no,no,no,yorkshire terrier,poodle (miniature),,,no,yes,no,53.0,0.0,medications,,yes
3,dog,puppy,medium,nan,nan,nan,nan,400,female,yes,yes,yes,no,no,not sure,not sure,yes,not sure,no,no,no,no,australian shepherd,border collie,,,no,no,no,,0.0,,,no
17,dog,adult,medium,nan,nan,nan,nan,nan,female,yes,yes,yes,no,yes,not sure,not sure,yes,not sure,no,no,yes,no,shepherds (all types),,,,no,no,no,71.0,0.0,,,no
40,dog,senior,small,nan,nan,nan,nan,200,male,yes,yes,yes,no,yes,no,not sure,yes,not sure,yes,no,no,no,dachshund,terriers (small),,,no,yes,no,155.0,0.0,,,no
63,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,not sure,no,yes,yes,yes,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,62.0,0.0,,,no
76,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,not sure,no,yes,yes,yes,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,62.0,0.0,,,no
44,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,not sure,no,yes,yes,yes,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,62.0,0.0,,,no
74,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,not sure,no,yes,yes,yes,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,62.0,0.0,,,no
21,dog,adult,medium,sheds a lot,short,nan,mixed,350,female,yes,yes,yes,no,yes,not sure,yes,yes,yes,no,no,no,no,border collie,,,,no,no,no,116.0,0.0,,,no
41,dog,senior,small,nan,nan,nan,nan,350,female,no,yes,yes,yes,no,not sure,not sure,not sure,not sure,no,no,no,no,schnauzer (standard),,,,no,no,no,156.0,0.0,,,no
444,dog,adult,medium,nan,nan,nan,nan,250,male,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,australian cattle dog,labrador retriever,,,no,yes,no,92.0,0.0,surgery/procedures,mass removal,yes
10,dog,young,large,sheds a lot,nan,nan,nan,495,male,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,golden retriever,,,,no,yes,no,42.0,0.0,,,no
54,dog,puppy,small,nan,nan,nan,nan,nan,male,yes,yes,yes,yes,no,not sure,not sure,yes,not sure,no,no,no,no,yorkshire terrier,maltese,,,no,yes,no,74.0,0.0,,,no
17,dog,senior,small,sheds a little,nan,nan,nan,400,male,yes,yes,not sure,no,yes,no,not sure,not sure,yes,no,no,no,no,shih tzu,jack russell terrier,,,no,no,no,111.0,0.0,,,no
35,dog,puppy,medium,nan,nan,nan,nan,915,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,maltese,chihuahua,,,no,no,no,29.0,0.0,"diagnosis, medications",,yes
121,dog,adult,large,nan,nan,nan,nan,350,male,yes,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,german shepherd dog,belgian malinois,,,no,no,no,89.0,0.0,,,no
22,dog,puppy,small,sheds a little,short,nan,mixed,450,male,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,no,no,chinese crested,,,,no,no,no,93.0,0.0,,,no
119,dog,young,medium,nan,nan,nan,nan,415,female,yes,yes,yes,not sure,yes,not sure,not sure,yes,yes,no,no,no,no,boxer,,,,no,no,no,39.0,0.0,,,no
14,dog,puppy,medium,nan,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,,,,no,no,no,27.0,0.0,,,no
22,dog,puppy,medium,nan,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,,,,no,no,no,27.0,0.0,,,no
14,dog,puppy,medium,sheds a little,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,,,,no,no,no,27.0,0.0,,,no
14,dog,puppy,medium,nan,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,,,,no,no,no,27.0,0.0,,,no
14,dog,puppy,medium,nan,nan,nan,nan,465,female,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,,,,no,no,no,27.0,0.0,"diagnosis, diagnosis",,yes
15,dog,puppy,medium,nan,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,,,,no,no,no,27.0,0.0,,,no
21,dog,puppy,medium,nan,nan,nan,nan,465,female,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,,,,no,no,no,27.0,0.0,,,no
18,dog,puppy,medium,nan,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,,,,no,no,no,27.0,0.0,,,no
46,dog,adult,small,nan,nan,nan,nan,375,female,no,yes,yes,no,not sure,not sure,not sure,yes,yes,no,no,no,no,chihuahua,,,,no,no,yes,,0.0,surgery/procedures,dental prophylaxis,yes
133,dog,adult,medium,nan,nan,playful/energetic,nan,350,female,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,pit bull terrier,staffordshire bull terrier,,,yes,no,no,68.0,0.0,,,no
55,dog,young,medium,sheds a little,nan,nan,nan,400,male,yes,yes,yes,no,yes,no,not sure,no,no,no,no,no,no,australian shepherd,blue heeler,,,no,no,no,27.0,0.0,,,no
88,dog,senior,small,nan,nan,nan,nan,300,female,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,bichon frise,,,,no,no,no,157.0,0.0,,,no
0,dog,adult,small,nan,medium,nan,purebreed,375,female,no,yes,yes,yes,yes,not sure,not sure,yes,yes,no,no,no,no,shih tzu,,,,no,no,no,124.0,0.0,,,no
173,dog,senior,small,nan,nan,nan,nan,265,male,yes,yes,yes,not sure,yes,not sure,not sure,yes,not sure,no,no,no,no,poodle (miniature),,,,no,no,no,199.0,0.0,,,no
12,dog,puppy,medium,sheds a little,nan,nan,nan,465,female,yes,yes,yes,no,not sure,no,not sure,yes,not sure,no,no,no,no,pointer,,,,no,no,no,21.0,0.0,,,no
14,dog,young,medium,nan,nan,nan,nan,350,female,no,yes,yes,no,yes,no,not sure,yes,not sure,no,no,no,no,australian cattle dog,,,,no,no,no,75.0,0.0,,,no
45,dog,young,medium,sheds a little,nan,nan,nan,400,female,nan,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,catahoula leopard dog,,,,no,no,no,44.0,0.0,,,no
0,dog,adult,medium,sheds a little,short,nan,mixed,75,female,yes,yes,yes,no,yes,not sure,no,yes,yes,no,no,no,no,australian cattle dog,american staffordshire terrier,,,yes,no,no,143.0,0.0,"surgery/procedures, diagnosis",,yes
41,dog,adult,medium,nan,nan,nan,nan,630,female,no,yes,yes,not sure,yes,not sure,yes,yes,yes,yes,no,no,no,australian shepherd,,,,no,no,yes,96.0,0.0,,,no
50,dog,adult,medium,nan,nan,nan,nan,365,female,yes,yes,yes,not sure,not sure,yes,yes,yes,yes,yes,no,no,no,border collie,catahoula leopard dog,,,no,no,no,62.0,0.0,,,no
73,dog,senior,small,nan,nan,nan,nan,250,male,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,papillon,,,,no,no,no,173.0,0.0,surgery/procedures,dental prophylaxis,yes
0,dog,senior,small,nan,nan,nan,nan,150,male,no,yes,yes,no,not sure,not sure,no,yes,not sure,no,no,no,no,chihuahua,,,,no,no,no,179.0,0.0,"surgery/procedures, surgery/procedures","dental prophylaxis, dental prophylaxis",yes
9,dog,adult,medium,nan,nan,nan,nan,350,female,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,australian shepherd,collie,,,no,no,no,109.0,0.0,,,no
12,dog,adult,x-large,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,not sure,yes,not sure,yes,yes,no,no,no,st. bernard,,,,no,no,no,,0.0,,,no
154,dog,adult,medium,nan,nan,nan,nan,415,male,yes,yes,yes,no,yes,not sure,not sure,not sure,not sure,no,no,no,no,american staffordshire terrier,husky,,,yes,no,no,39.0,0.0,medications,,yes
50,dog,senior,small,nan,nan,nan,nan,250,male,no,yes,yes,yes,yes,no,not sure,yes,no,no,no,no,no,bichon frise,,,,no,no,no,167.0,0.0,surgery/procedures,dental prophylaxis,yes
7,dog,puppy,small,sheds a little,nan,nan,nan,465,female,nan,yes,no,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,chihuahua,,,,no,no,no,,0.0,,,no
8,dog,puppy,small,no shedding,nan,nan,nan,nan,male,yes,yes,not sure,not sure,yes,not sure,yes,yes,yes,yes,no,no,no,yorkshire terrier,shih tzu,,,no,yes,no,42.0,0.0,,,no
21,dog,young,large,nan,nan,nan,nan,400,male,no,yes,yes,no,yes,not sure,yes,yes,yes,no,no,no,no,doberman pinscher,,,,no,no,no,66.0,0.0,,,no
42,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,not sure,no,no,not sure,yes,yes,yes,no,no,no,no,border collie,pit bull terrier,,,no,no,no,46.0,0.0,,,no
7,dog,young,large,nan,nan,nan,nan,nan,male,no,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,golden retriever,,,,no,yes,no,44.0,0.0,,,no
89,dog,senior,small,no shedding,nan,nan,nan,250,male,no,yes,yes,yes,not sure,not sure,not sure,yes,not sure,no,no,no,no,bichon frise,bichon frise,,,no,no,no,,0.0,surgery/procedures,dental prophylaxis,yes
52,dog,young,medium,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,not sure,no,no,no,yes,no,no,no,american bulldog,,,,yes,no,no,66.0,0.0,,,no
10,dog,adult,small,nan,nan,nan,nan,450,female,no,yes,yes,yes,yes,no,not sure,not sure,not sure,no,no,no,no,maltese,,,,no,no,no,85.0,0.0,,,no
6,dog,adult,small,nan,nan,no children. ,nan,400,male,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,no,pomeranian,australian terrier,,,no,no,no,61.0,0.0,,,no
12,dog,senior,small,sheds a little,short,nan,purebreed,75,male,no,yes,yes,no,yes,not sure,no,no,not sure,yes,no,no,no,chihuahua,,,,no,no,no,201.0,0.0,,,no
183,dog,puppy,large,nan,nan,nan,nan,465,female,yes,yes,yes,not sure,yes,not sure,yes,yes,not sure,no,no,no,no,31 flavors mixes,,,,no,no,no,27.0,0.0,,,no
122,dog,young,small,sheds a little,nan,nan,nan,375,male,nan,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,chihuahua,,,,no,no,no,34.0,0.0,,,no
91,dog,young,medium,nan,nan,nan,nan,350,male,yes,yes,yes,no,yes,yes,yes,not sure,not sure,no,no,no,no,boxer,,,,no,no,no,48.0,0.0,,,no
56,dog,young,medium,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,no,not sure,yes,yes,no,no,no,no,boston terrier,,,,yes,no,no,82.0,0.0,,,no
35,dog,adult,x-large,nan,nan,nan,nan,300,male,no,yes,yes,no,not sure,not sure,yes,yes,yes,no,no,no,no,st. bernard,,,,no,no,no,127.0,0.0,,,no
50,dog,young,small,nan,nan,nan,nan,350,male,yes,yes,yes,no,not sure,not sure,not sure,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,71.0,0.0,,,no
0,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,not sure,no,yes,yes,yes,no,no,no,no,boxer,pit bull terrier,,,no,no,no,63.0,0.0,,,no
20,dog,senior,small,sheds a little,nan,nan,nan,400,male,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yorkshire terrier,pomeranian,,,no,yes,no,113.0,0.0,surgery/procedures,dental prophylaxis,yes
7,dog,puppy,large,sheds a lot,nan,nan,nan,465,male,yes,yes,yes,no,yes,no,not sure,yes,yes,no,no,no,no,labrador retriever,,,,no,yes,no,33.0,0.0,,,no
37,dog,adult,medium,nan,nan,nan,nan,300,male,nan,yes,yes,no,yes,no,not sure,yes,yes,no,no,no,no,australian shepherd,,,,no,no,no,125.0,0.0,,,no
187,dog,adult,medium,nan,nan,nan,nan,315,female,yes,yes,yes,no,yes,not sure,no,not sure,yes,yes,no,no,no,shiba inu,,,,no,no,no,81.0,0.0,,,no
209,dog,adult,small,nan,nan,nan,nan,300,male,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,chihuahua,,,,no,no,no,132.0,0.0,,,no
24,dog,adult,large,nan,nan,nan,nan,nan,male,yes,yes,yes,not sure,yes,not sure,yes,yes,yes,no,no,yes,no,australian cattle dog,labrador retriever,,,no,yes,no,67.0,0.0,,,no
27,dog,young,small,sheds a little,nan,nan,nan,465,male,yes,yes,yes,yes,yes,not sure,not sure,yes,no,no,no,no,no,maltese,yorkie,,,no,no,no,32.0,0.0,,,no
354,dog,adult,medium,nan,nan,nan,nan,315,male,yes,yes,yes,no,not sure,yes,yes,yes,yes,no,no,no,no,bluetick coonhound,,,,no,no,no,120.0,0.0,"medications, medications",,yes
132,dog,young,medium,nan,nan,nan,nan,350,male,yes,yes,yes,no,yes,not sure,no,yes,no,no,no,no,no,black mouth cur,,,,no,no,no,78.0,0.0,,,no
170,dog,senior,small,nan,nan,nan,nan,250,female,no,yes,yes,yes,yes,no,not sure,not sure,no,yes,no,no,no,schnauzer (miniature),,,,no,no,no,177.0,0.0,,,no
21,dog,adult,large,nan,nan,nan,nan,315,female,yes,yes,yes,not sure,yes,not sure,not sure,yes,yes,no,no,no,no,boxer,pit bull terrier,,,no,no,no,82.0,0.0,,,no
17,dog,puppy,small,nan,nan,nan,nan,450,female,yes,yes,yes,yes,not sure,not sure,not sure,yes,yes,no,no,no,no,chinese crested,shih tzu,,,no,no,no,58.0,0.0,diagnosis,,yes
0,dog,adult,small,sheds a little,short,nan,purebreed,nan,female,no,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,mastiff,,,,no,no,no,125.0,0.0,,,no
0,dog,adult,small,sheds a little,short,nan,purebreed,250,female,no,yes,yes,no,yes,yes,not sure,yes,yes,no,no,no,no,miniature pinscher,,,,no,no,no,202.0,0.0,surgery/procedures,dental prophylaxis,yes
138,dog,young,large,sheds a lot,nan,nan,nan,400,female,yes,yes,yes,no,yes,no,not sure,yes,yes,no,no,no,no,siberian husky,german shepherd dog,,,no,no,no,31.0,0.0,,,no
