bookformat,desc,pages,rating,reviews,totalratings,cover_image
Kindle Edition,celia graves ordinary human days long gone strives maintain sanity soul juggling vampire abilities powers siren warned magical bomb local elementary school celia forces evacuation oddly explosion seems effect puzzling celia fbi two weeks later strangely persistent bruise celia leg turns first sign magical zombie plague finding source plague celia concern alcoholic mother broken prison sirens island little sister ghost possessed young girl one celia boyfriends powerful mage disappeared,381,4.05,152,3241,cover_images/processed_image_17669.jpg
Hardcover,race towards flashpoint continues flash collection comics hottest writer geoff volume features epic telling origin barry allen greatest foe professor zoom eobard thawne story beginning intends finish flash collecting flash,120,3.75,83,1214,cover_images/processed_image_17695.jpg
Paperback,would born predator would fight natural instincts give nature eden soul eater closing awakening family convinced soon take life order save decision eden want deal even hunger souls grows stronger every complicate impossible position new guy school noah valois determination befriend puts eden touch humanity never known addicted company friendship affection becomes terrified giving hunger mean losing discovers noah seems betrayal forces face two choices one offer revenge destruction boy loved may offer life eternal,273,3.9,405,6123,cover_images/processed_image_17770.jpg
Mass Market Paperback,second novel unique urban fantasy series acclaimed author morgan kingsley series ancient evil unleashed modern unless one fearless hunt nikki glass immortal huntress returns new novel acclaimed series jenna black living descendant artemis huntress private investigator nikki glass knows track someone oracle shows warning descendants wild dog attacks washington nikki afraid might trap olympians believe dogs really jackals controlled descendant egyptian anubis whatever nikki hopes muzzle dogboy got catch act stakes local cemetery ends snarling pack whose bite worse bark hellhounds immortal like nikki dog spelled backward may god stop nikki teaching old gods new tricks like playing dead,355,3.93,252,4518,cover_images/processed_image_17797.jpg
Hardcover,journey tolkien middle earth complete guide lands legends histories languages people tolkien companion explains translates links every single reference names dates places facts famous weapons even food drink found tolkien world includes hobbit lord rings also simarillion many posthumously published works detailed explanation various elvish writing systems together maps charts genealogical tables bring remarkable genius tolkien unforgettable world wonder middle earth life focus accuracy presented alphabetical order quick easy reference indispensable accompaniment anyone embarks reading journey lifetime first published edition fully revised updated new century tolkien lovers,715,4.24,27,4733,cover_images/processed_image_17814.jpg
Kindle Edition,world overrun living dead every victim story stories collection six short stories world ravaged virus tell tale six different people fell victim different ways deadly plague pilot commercial aircraft overwhelmed midair lonely soldier stranded high world undead six characters face fears mortality different ways word collection features unique selection characters original zombie novel bryan james infection recently released sequel evolution character appears fleetingly longer novels unique thread storyline exposed short excerpts final hours alive collection includes pilot boy inmate fry cook subway passenger sniper pilot commercial aviator sees last flight end way never could imagined boy family trip cut short lonely homecoming anticipated see surprising genesis true identity traveling companion inmate fry cook reveals final moments teenage fast food worker subway passenger learn case zombie apocalypse probably rather aboveground sniper surprising truth fates fought even fifty caliber rifle,51,3.73,76,1296,cover_images/processed_image_17820.jpg
Hardcover,incomparable master storyteller forms corn maiden nightmares joyce carol oates spins six imaginative tales suspense corn maiden story marissa beautiful sweet girl hair color corn silk taken older girl school told two friends thrall indian legend corn maiden girl sacrificed ensure good crop marissa kept secluded basement convinced world ended marissa seemingly inevitable fate becomes ever terrifying older girl relishes power giving tale unbearable tension shocking conclusion helping hands published first time lonely woman meets man unlikely clutter dingy charity shop extends friendship idea kinds doors may opening powerful stories extraordinary collection enhance joyce carol oates standing one world greatest writers,365,3.38,337,2151,cover_images/processed_image_17854.jpg
Paperback,grader yugi spent time alone playing games solved millennium puzzle mysterious egyptian artifact possessed puzzle yugi becomes king games challenges evildoers shadow games weird games high stakes high risks graphic novels contain new stories seen anime including origin yugi friends meet seto kaiba master world dangerous collectible card game kaiba discovers yugi grandfather owns incredibly rare white dragon card stop nothing get even duel yugi dark egyptian museum exhibit brings unwelcome visitor shadi mystical keeper millennium items whose bloodline guarded tombs egypt years recognizing rival puts test see true king games,200,4.14,61,1506,cover_images/processed_image_17900.jpg
Hardcover,last long awaited novel featuring famous crews starship enterprise epic adventure spans time space captain kirk crew enterprise faced challenging mission yet rescuing renowned scientist zefram cochrane captors want use skills conquer galaxy meanwhile years future enterprise picard must rescue important mysterious person whose safety vital survival federation two crews struggle fulfill missions destiny draws closer together past future merge fate two legendary starships rests hands vessel,467,4.04,154,2277,cover_images/processed_image_17904.jpg
Paperback,mysterious chin yisou takes great pleasure pushing hakkai psychological boundaries hakkai frightened find bloody past nipping heels chin yisou starts targeting sanzo others heroes find fighting,208,4.3,26,1032,cover_images/processed_image_17940.jpg
Hardcover,two families come california mountains expecting fun weekend camping trip find instead terror form violent psychopath mother powerful previously published tread softly richard kelly,372,3.76,147,2475,cover_images/processed_image_18073.jpg
Hardcover,baird college mendenhall echoes footsteps last students heading thanksgiving break robin stone swears feel creepy residence hall breathe sigh relief solitude perhaps gathering coming massive storm dumps rain isolated campus four lonely students reveal patrick handsome jock lisa manipulative tease cain brooding musician finally martin scholarly eccentric forsaken long weekend home secret five unlikely companions establish tentative rapport soon become aware sixth presence disturbing ominous silence pervades building victims simple college prank taken way far unusual energy evidence something genuine intent using five students terrifying ends thursday afternoon three long days dark nights rest world returns find become darkness keeping company five students nobody wants one miss,247,3.69,326,2224,cover_images/processed_image_18080.jpg
Kindle Edition,perdita rivers spent entire sheltered life told lately felt ready change universe seems agree new best friend brother boy perdita dreams literally even though plays hot cold sure kind distracted sense followed mention rumours wild animal sightings seem mean new crush family perdy mission find truth maybe truth danger hide,224,3.79,273,5635,cover_images/processed_image_18098.jpg
ebook,siren ménage everlasting manlove erotic alternative paranormal ménage trois romance werewolves jasper finally taken step mate leaving everything everyone knows behind starting hard especially find alpha mate controlling jasper going stand zeus tries cope fact jasper submissive wants trying model relationship parents working well give control order save relationship toby kramer human running man wants see dead finding toby unknowingly slept guy partner ends pride pack valley trying start obviously committed couple makes play toby wants part jasper teach zeus let go control teaching toby trust toy jasper hands full two men trouble finds toby tries take little mate away,116,3.87,49,1494,cover_images/processed_image_18128.jpg
ebook,siren ménage everlasting manlove erotic alternative paranormal ménage trois romance werewolves bondage sex toys sheriff jesse dekalb work cut discovers two mates haunted pasts craig hanes running past fears leave dead avanti soldier zeus ready mate let alone trying keep craig alive threat tracked plot overthrow zeus three mates try accept fact fate brought help heal pasts destroy chance finally happy,115,3.88,26,1116,cover_images/processed_image_18129.jpg
ebook,siren everlasting classic manlove erotic alternative fantasy romance demons public exhibition spanking chris hung around demon warriors trying emulate one hundred years awe magnificent warriors eyes one hondo thickheaded come everyone around see chris feels big bad except hondo bizarre occurrences keep taking place demon realm chris ready action rushing wise men fear tread hondo keep chris running battle may survive hondo set aside friendship become lover little demon worships ground walks note book lynn hagen demon warriors collection features different romantic couple title stands alone read order however recommend reading series sequential order,127,3.78,50,1097,cover_images/processed_image_18131.jpg
ebook,rylie survived becoming werewolf great cost moves aunt ranch hopes enroll new high school quietly continue life distinct changes transforms beast every new full moon struggles control murderous without many werewolves left hard stay hiding family hunters eleanor abel seth recognize signs follow rylie new home want stop murders someone way silver bullet seth soon realizes werewolf rylie one monster failed kill worse yet still love torn family love rylie struggles reconcile feelings control wolf within seth fights right right obeying desire duty,189,3.97,168,3139,cover_images/processed_image_18171.jpg
Kindle Edition,war come winter kingdoms dread rise kings tris drayke takes remains army north war fight reports spies confirm tris worst fear new threat rises across sea dark summoner intends make winter kingdoms weakness isencroft kiara father assassinated choice except return claim crown must leave behind husband infant son face dark power threatens dread epic conclusion fallen kings cycle,640,4.15,48,1735,cover_images/processed_image_18414.jpg
Paperback,heroes face new horrors investigate small town vanishings wild monsters woods strange new creature arrives create hell earth written mike mignola john arcudi drawn eisner guy davis marquis hell earth new world marks beginning new era horror,144,4.03,77,1145,cover_images/processed_image_18440.jpg
Paperback,hellblazer gift written mike carey art leonardo manco frazer irving cover tim bradstreet collecting hellblazer one constantine blunders proves disastrous loved one forcing ally last person would choose path constantine finds leads directly hell must confront dread demon nergal constantine longtime adversary full description,224,4.28,30,1475,cover_images/processed_image_18546.jpg
Hardcover,read word one atticus thick old books went jack ask meant held hands glowed gentle thought might kiss air since day wanted place iridescent lit without burning love sort like real matthew loved ariel moment found tunnels blond hair shining bee wings falling away live safe underground refuge fleeing city whisper speaks ghosts jack flash shoot lightning one terrifying night old enemy invades safe army shadows matthew ariel friends escape forced survive dangerous place imagine matthew strives unravel mystery shadows powers safe secret history knows must find way remake safe friends ariel faced life fled needs ever,363,3.1,451,2861,cover_images/processed_image_18622.jpg
Paperback,ever since sixteenth birthday strange things keep happening seraphina lady burns sera unexplainable catapult grungy wants kill beautiful mysterious stalks sera moves chicago aunt reveals family connection centuries old secret society immediately thrust unbelievable fantasy world leading quest unravel mysteries plague end meanings crash epic struggle loyalty betrayal forced choose boy stolen heart thing desires wander dust breathtaking fantasy catapult story time adventure love,374,3.75,327,2581,cover_images/processed_image_18623.jpg
Paperback,tuxedo mask gone bad closest allies fall power evil queen beryl usagi comes closer discovering truth behind past stage set battle fate earth sailor guardians forces evil dust settles little girl calling usagi falls sky right arms mamoru connection sailor moon want legendary silver crystal new edition sailor moon features entirely new incredibly accurate translation reading new cover art never seen original japanese character names detailed translation notes,238,4.38,438,7491,cover_images/processed_image_18640.jpg
Paperback,world greatest paranormal investigator takes carnivorous house space aliens vampire luchador vengeful lion demon collection featuring work comic greats mike mignola richard corben kevin nowlan scott hampton,200,4.18,149,2491,cover_images/processed_image_18684.jpg
Hardcover,clawdeen wolf custom iridescent wrap dress pack brothers date sassy sixteen purple halter dress gold ankle always overshadowed six brothers fab friends clawdeen wolf finally strut stuff spotlight upcoming sweet sixteen bash ghoul next door video goes viral woods family wolf clawdeen goes hiding family family b b annoying brothers lala shows keep company vamp flirting claude frankie stein frankie ca believe brett betrayed thought sparked new romance seems fizzled still frankie charged ready fight rights refuses run hills since face shown video afford stay salem hello anyone still melody carver melody wants help put smackdown bekka monster home tours kinda busy trying get truth parents keep j sending jackson hiding struggles walk line normie rad starts realize people actually listening says even candace melody newfound voice stay fitting,256,3.97,193,4193,cover_images/processed_image_18730.jpg
Paperback,something go wrong wrong expect supreme decides get away days leaving naturally inquisitive son look cosmic balance things minor hiccup human soul welding machine soon leads violent belch know human mention lemming tumbling slippery slope chaos,343,3.78,34,1514,cover_images/processed_image_18756.jpg
Paperback,hero bothers jason easy get maladjusted mum suburban housewife dad supreme drag slaying fabulous monsters retrieving golden fleeces dragons tidy room mum let watch star trek,304,3.69,36,1237,cover_images/processed_image_18767.jpg
ebook,bridging hatred centuries come easy freyrík farr ayden vaska prince human province freyrík could ill afford fall enemy ayden elven warrior three hundred years bitterness heart wanted part love yet came together despite wills peoples joining hearts minds fight race dark beasts threatening extinction yet dark beast threat pales beside dangers summons human high court home aegis exalted harshest test yet ayden freyrík fledgling aegis strips ayden magic freyrík forced choose love elf aegis king seeking one uncertain path might save doomed race time fast running mankind making peace amongst ancient elven enemies end dark undo tragedy plagued humans elves dark beasts alike last three hundred title lightly revised second edition crescendo previously released different press,245,3.98,164,1432,cover_images/processed_image_18795.jpg
Mass Market Paperback,gram country cooking school betts gram helping students prepare perfect dishes southern missouri draws first summer visitors everything going smoothly discover body local theater owner everett morningside school supply closet everett widow points accusatory finger gram betts dig deep broken rope history find last piece chicken served,296,3.85,200,1309,cover_images/processed_image_18797.jpg
Paperback,jackie patton rescued theronai captivity torture hands synestryn learn potential match theronai warriors need woman literally save lives forced choose unexpectedly selects iain warrior want saved iain convinced soul already dead former betrothed killed synestryn still one wants iain indeed beyond saving,372,4.23,145,2103,cover_images/processed_image_18808.jpg
ebook,hawk shifter colin mentor eagle shifter riley several months eagle shifters rare riley constantly danger captured forced slavery colin hands full training riley halfway decent soldier protecting younger man enemies trying fight growing attraction one another colin discovers bigger threat riley dangerous others riley ca run away threat either since comes within colin able save riley eagle lost internal demons,111,3.87,45,1007,cover_images/processed_image_18837.jpg
ebook,hunt pretty young men women like michael best friend scary mary disappearing underground goth clubs detroit two years michael scouring midwest buried newspaper articles obscure medical reports finally pinpointed source problem bad ca exactly go cops tell friend murdered vampires since duty start wiping scourge posing got bag sharpened hickory stakes everything go smoothly given amount preparation michael put hunt got practiced repertoire eyeliner looks full date rape drug rohypnol count wild bill showing wild bill vision spiked hair scuffed black type guy michael would fallen ever chance unfortunately vampire sights michael time actual date despite best efforts seems nothing michael shake bill loose looks like wild wild ride,38,3.73,183,1239,cover_images/processed_image_18879.jpg
ebook,jessica tandy coming back camping trip alaska meets tall dark handsome flint riverclaw chat bar rest stop eventuates ultimately changes rest life flint brown eyes occasionally glow turquoise growls much imaginations run wild supernatural romance word count,50,3.52,216,3216,cover_images/processed_image_18929.jpg
ebook,moment amber starts summer job scotland sets eyes upon aidan fate sealed summoned ancient bond never love another lost woods one night amber enters aidan deadly world unknowingly participates paranormal race promptly wins first prize prize worth killing world forbidden love ancient enemies legends rituals nothing seems one trusted life never unless enters otherworld amber must die books ancient legends series job hell beelzebub girl voodoo kiss dead beyond forever beyond shadow blood books read stories advisable read order get enjoyment series,371,3.55,658,8114,cover_images/processed_image_18932.jpg
Kindle Edition,desperate girl run nowhere hide warrior made vow never claim bride sophia waterhouse hunted man save one fears sophia waterhouse always afraid needles vampires way wants anything modern day count come wrapped package huge kindred warrior blond hair ice blue eyes kindred mothership participate sister liv wedding sylvan tranq kindred made sacred vow never call bride devastating rejection home planet heart block ice one thinks meets ship forced middle rugged mountain range sophia sylvan stranded running lives depend give intense attraction evil hunting sophia take toll read brides kindred book find,466,3.98,528,9719,cover_images/processed_image_18987.jpg
Nook,shayna two best friends abilities manipulate control four elements earth air water fire learning hone growing powers discover new malicious presence sleepy beach town someone performing blood magic threatens expose small magical community far small animals slaughtered nightmares start shayna suffers nightmares chased sacrificed wake bloodied bruised thinks magical blood ultimate target final blood rite innocent girl tracy kidnapped shayna knows ploy draw ca let someone die,237,3.75,134,1592,cover_images/processed_image_19003.jpg
Hardcover,adrienne satti orphan davillon somehow escaped destitution climbed ranks city aristocracy story straight ancient fairy tale one horrid night conspiracy forces human stole away flurry blood murder today widdershins thief making way davillon underbelly sharp blade sharper wit mystical aid olgun foreign god worshippers widdershins great life certainly nothing compared one midst davillon political turmoil array hands rising prepared tear built city guard wants prison members guild want dead something horrid something dark something ancient reaching past refuses let go widdershins olgun going find answers justice happened almost destroyed years gone finish job first,273,3.69,313,2516,cover_images/processed_image_19054.jpg
Kindle Edition,short story new york times bestselling author jim butcher originally published anthology songs love death edited george martin gardner dozois also available side jobs,35,4.16,61,2269,cover_images/processed_image_19066.jpg
Mass Market Paperback,jeremy bremen secret life cursed ability read minds knows secret thoughts fears desires others years wife gail served shield jeremy burden terrible knowledge gail dying mind ebbing slowly away leaving vulnerable chaotic flood thought threatens sweep away sanity jeremy run mind past hoping find peace isolation instead witnesses act brutality propels treacherous trek across dark dangerous america fantasy theme park lair killer sterile hospital room louis follows voice calling witness stunning mystery heart mortality,342,3.46,212,3039,cover_images/processed_image_19074.jpg
Paperback,napolean mondragon immortal vampire sovereign lord house jadon race fearsome leader rules wisdom integrity strength even napolean carries blood every vampire veins also carries dark secret shame heart secret soon used brooke adams arrives dark moon vale business conference unaware hidden danger dwells within valley majestic forest rising star corporate world one goal sell concept boss advance career little know life change forever caught tangled web vengeance deception napolean brooke forced confront inner demons primordial destiny battle survive dark possession,376,4.34,117,1486,cover_images/processed_image_19076.jpg
Hardcover,hellboy quit leaving abe sapien lead liz sherman bizarre roster special agents defending world occult threats including growing menace frog army first spotted hellboy seed destruction mike mignola dark horse present complete plague frogs saga hollow earth king fear second volume dives deeper abe origin story introduces reader bureau villains memnan saa black flame features first appearance daimio hellboy creator mike mignola teams john arcudi god somewhere occult adventure drawn series regular guy davis sandman mystery theatre guest artists john severin tales karl moline joss whedon fray peter snejbjerg starman herb trimpe incredible hulk,480,4.38,75,1300,cover_images/processed_image_19099.jpg
Hardcover,serenity better days joss whedon brett matthews follows everyone favorite space cowboys adventure crew takes heist promises big payoff someone taken captive gang must put aside enduring differences work together risk losing cash prize float comedian patton oswalt examines serenity pilot wash always ready brilliant aerial maneuver terrible series exciting smuggling raids jim krueger presents story loyalty trust half finally downtime zack whedon writer new york times bestselling serenity shepherd tale visits crew wait brutal snowstorm,126,4.17,211,3343,cover_images/processed_image_19102.jpg
ebook,gold medal readers favorite awards winner young two worlds collide dreams protecting fallen falling love never part loving mattered even meant would exiled eternity claudia emerson life change good friend coincidentally shares first last name dies tragic accident distraught loss friend claudia dreams become tumultuous mysteriously travels another world called crossroads unexpectedly meets michael nephilim half angel half human fallen demons suspecting must special michael nephilim protect dream becomes nightmare secrets revealed really true identities people loves,315,3.72,389,2799,cover_images/processed_image_19170.jpg
Paperback,happens discover thought person love person betray fate already determined fight evie tremain discovers last long line demon slayers hunted elite band assassins vampires mixen demons amongst knows run find wherever goes instead must learn stand warrior lucas gray sent spy evie ordered kill fulfil dangerous prophecy fates become inextricably linked war raged one thousand years humans demons reach devastating inevitable conclusion either one die war life becomes bound another take sever,312,3.68,249,2278,cover_images/processed_image_19184.jpg
Paperback,anna abel different seventeen last year school anna lives nice old town house comes family abel school drug dealer lives big prisonlike tower block edge town anna afraid realizes caring sister fascinated anna follows two listens abel tells little micha story tiny queen assailed dark forces beautiful fairy tale anna comes see basis reality abel real danger losing micha abusive father inability make ends meet anna gradually falls love abel enemies begin turn dead fears fallen murderer author antonia michaelis moves bold new direction latest novel dark haunting contemporary story part mystery part romance part melodrama,402,4.04,1445,8181,cover_images/processed_image_19189.jpg
Paperback,richard baedecker thinks greatest challenge walking moon meets mysterious woman shows past passion space exploration forgotten childhood loss experienced challenger moon warm interior heart love loss transports readers far beyond confines space time,232,3.57,79,1165,cover_images/processed_image_19193.jpg
Hardcover,cancer heart mighty cerani empire plague attacks young old rich poor alike geometric patterns spread across skin die agony become carrier bidding evil intelligence pattern master anyone showing marks put death emperor beyon law pattern running emperor arms body servants executed ignores wives doomed soon pattern reach face beyon agents scour land cure sarmin emperor surviving brother awaits bride mesema windreader northern plains unused imperial court stifling protocols deadly intrigues mesema one turn aging imperial assassin emperor knife conspiracies boil open violence invincible pattern master appears deep desert three people stand way lost prince killer young girl steppes saw path pattern path might save,450,3.3,239,1985,cover_images/processed_image_19206.jpg
Hardcover,remember woken nap decided create begins alan lightman playful profound new novel mr g story creation told god barraged constant advisements bickerings aunt penelope uncle deva live nephew shimmering void mr g proceeds create time space matter come stars planets animate matter consciousness finally intelligent beings moral dilemmas mr g powerful knowing much invention trial even plans go awry mr g discovers creation space time come unforeseen form mysterious belhor clever devious rival intellectual equal mr g belhor delights provoking belhor demands explanation inexplicable requests newly created intelligent creatures subject rational laws maintains necessity evil mr g watches favorite universe grow maturity begins understand act creation change echoes calvino rushdie saramago combining science theology moral philosophy mr g stunningly imaginative work celebrates tragic joyous nature existence grandest possible scale,224,3.58,362,1932,cover_images/processed_image_19252.jpg
Paperback,castor reluctantly returned exorcism case bonnington archive ghost convinced really good abilities course relative term dealing undead friend rafi still possessed succubus ajulutsikael juliet friends still technically contract still let beat around bush dirt consulting local constabulary helps pay bills castor needs big private job really fill hole overdraft needs gets good fortune castor speaking terms seemingly insignificant ghost case inexorably drags loved ones middle horrific plot raise one hell fiercest satanists sacrifice farms stolen spirits possessed churches appear police report name felix castor ca far behind,512,3.97,464,8371,cover_images/processed_image_19266.jpg
ebook,three hundred years terrifying witch hunts world ever known happening young witch stella put faith strangers stay alive might safer midst danger running one dark secret new family étoile sister spoken fear sadness marc supposed powerful witch missing magic owner safe house vanish every day evan eyes someone quite human one secret someone anything keep quiet whose secret stella pay price silence,379,3.85,177,1877,cover_images/processed_image_19311.jpg
Hardcover,one many yous one world many worlds one billions parallel everett singh scientist father kidnapped streets london leaves young everett mysterious app computer suddenly become owner valuable object map parallel earths dark forces ten known worlds stop nothing get got power authority might ten technologically advanced fingertips got wits intelligence knack indian keep infundibulum safe everett must trick way heisenberg gate dad helped build go run parallel earth rescue dad charlotte villiers sinister order planesrunner going need friends friends like captain anastasia sixsmyth adopted daughter sen crew airship rescue everett father get infundibulum safety game afoot ages,274,3.69,200,1110,cover_images/processed_image_19320.jpg
Paperback,cursed druid millennia ago roan lives bleak existence shadowlands desperately trying retain soul succumb goblin horde beautiful human summons grant wish sees glimmer hope ever agree queen back cover synopsis upon time man cursed shadowlands heart replaced cold lump gold legends became known goblin favored grant wish yet desperately clinging waning human soul one desire remains unfulfilled willing would consent move world realm nightmares matter intoxicating touch matter deep valor loving dangerous one woman might dare try could also destroy forever,317,3.65,311,2521,cover_images/processed_image_19350.jpg
Kindle Edition,word count would suddenly found years past people year longer question reality seemingly simple experiment goes disastrously wrong james baston finds stranded alongside rest mankind years past past old young dead live world thrust contacted scientist responsible disaster james recruited help avert even greater catastrophe along team scientists reincarnated murder victim frustrated genius trapped old body james must stop certain extinction humanity deluded leader church second redemption way humanity disappear potentiality willing anything ensure happens serial killer murder victim dead priest james lives inextricably bound together plummet towards explosive final confrontation winner decide fate thanks considering downloading towards yesterday second could ask scroll tag section bottom page agree confirm tags find make towards yesterday easier others find thank,242,3.73,139,1356,cover_images/processed_image_19379.jpg
Kindle Edition,distant future trevor lex alexander shaping next great race pilot fixed race got banned sport reduced making freelance deliveries thinks life ca get worse package manages get mixed mobsters megacorp mad scientist life depends learning plans stop,223,4.08,180,1371,cover_images/processed_image_19400.jpg
Hardcover,henry third visit faerie realm time rather different guise different kind place holly blue queen lord hairstreak appears proposing truce faeries night faeries light meanwhile prince pyrgus stumbled across mysterious crystal flowers apparently formidable secret weapon rumours demon invasion led beleth prince queen blue wary uncle uncharacteristic generosity pays visit spicemaster labyrinth attempt divine possible future realm warned beware someone close realizing careful need kidnapped unlikely candidate realm rapidly descends thrilling adventure blue pyrgus henry find midst furious battle protect future realm secure throne rightful ruler,430,3.9,111,4074,cover_images/processed_image_19415.jpg
Paperback,henry atherton returned life suburbs london thought well faerie ream new friend pyrgus crown prince faerie coronated purple emperor princess holly blue arrived earth seeking henry help plot assassinate pyrgus afoot worst problems pyrgus father murdered purple emperor raised dead means foul necromantic sorcery lord hairstreak sinister faeries night seized control realm driven pyrgus allies henry choice return world faerie aid friends proves easier said done mystical portal linking realms goes awry henry scramble stay alive fantastic world constantly full surprises danger,432,3.84,154,6843,cover_images/processed_image_19418.jpg
Paperback,killed girl last night bare hands old piece pipe found lying next dumpster part got part scared part seem wrap head around still reeling charged body shifted wolf snapping teeth extended claws time stood lifeless body girl time went moment showed accept truths staring face one werewolves exist two born kill,288,3.93,484,7958,cover_images/processed_image_19428.jpg
Paperback,vivid stylized prose cyberpunk intensity seemingly limitless imagination jack womack compared william gibson kurt vonnegut though gibson admits dropped characters neuromancer womack manhattan fall screaming nervous breakdowns random acts senseless violence womack fifth novel thrilling hysterical eerily disturbing piece ot work lola hart ordinary girl comes comfortable family attends exclusive private school loves friends lori katherine teases sister boob increasingly troubled city lives manhattan dying breed riots fire tb outbreaks roaming gangs increasing inflation political civil unrest threaten way life well fabric new york city diary lola chronicles changes family make attempt adjust city country spinning control mother teacher one hiring father writer one buying scripts hounded creditors forced vacate apartment move harlem family life begins dissolve increasingly estranged privileged school friends lola soon makes new ones iz jude weezie wise veterans street know must done order survive willing metamorphosis lola hart surrounded new language violence streets begins simultaneously chilling darkly hilarious random acts senseless violence takes jittery urban fears suppress fiction daily life makes explicit explicitly,256,3.94,337,2369,cover_images/processed_image_19464.jpg
Hardcover,advent wormhole technology dozen interstellar colonies linked earth new mode transportation comes price risks saul dumont knows better anyone still trying cope loss wormhole link galileo system stranded earth far wife child past several years weeks away link galileo finally stumbles across conspiracy suppress discovery second alien network wormholes lead billions years future covert expedition sent named site investigate accident occurs one expedition mitchell stone disappears realize dealing something far beyond understanding second expedition travels via wormholes earth near future discover devastated lifeless solar system except one man mitchell stone recovered experimental cryogenics facility ruins lunar city stone may surviving witness coming destruction earth survivor brought back present way saul prevent destruction coming,372,3.67,83,1005,cover_images/processed_image_19519.jpg
Hardcover,date galactic era almost three thousand years republic created human race yet dominated midst war teroni federation captain wilson cole man reputation exceeding orders getting results found victim media feeding frenzy political scapegoat despite years dedicated military service faced court martial rescued loyal crew ship theodore roosevelt branded mutineers teddy quit republic never seeking find new life wilson cole first remade teddy pirate ship plying spaceways lawless inner frontier military discipline honor poor match life pillaging plundering cole principles naturally limited targets taking new role teddy becomes mercenary ship hiring highest bidder whether evacuating hospital war reach freeing client alien prison stopping criminal cartel extorting money terrified planet crew teddy proves equal task along way form partnership human platinum duke team former enemy make unique singapore station life mercenary always predictable eventually circumstance pits cole teddy woman former pirate queen known valkyrie soon fragile trust grown two legends put test find opposite sides job,323,3.67,40,1038,cover_images/processed_image_19538.jpg
Paperback,coming blood moon lead two lycan packs war spur two rival brothers conflict spark act vengeance evil effects felt generations one woman stands center years waiting blood law last avenged lycan alpha lucien mondragon takes revenge brother rafael lucien poised slay rafael life mate complete kill falon mystical powers fiery nature awaken heart lucien thought long dead instead ending life lucien defiantly marks falon tormenting brother insanity spurning rafael blood thirst though terrified savage lucien falon finds inexplicably drawn primal rage strength desire resist torn true love rafael burning hunger holds lucien falon knows heart lead destined life mate may also doom alpha lycan extinction,352,3.95,166,1497,cover_images/processed_image_19541.jpg
ebook,volatile mix lycan slayer falon alpha female pack marked rival alpha brothers learns daughter master slayer murdered lucien rafael parents revelation throws relationship brothers chaos falon begs condemn father deeds realizes alpha mates destined one pleads accept unusual triangle lucien rafael overcome pride accept fate annihilation lycan race waits within shadow blood moon,250,3.89,115,1152,cover_images/processed_image_19542.jpg
Mass Market Paperback,upon time blood sorcerer vanquished kingdom elden save children queen scattered safety king filled vengeance magical timepiece connects four royal heirs time running practical reda weston nothing could explain reading sexy version little red riding hood catapulted another realm legendary seduced women wolf transformed dark virile man dayn cursed sorcerer turned wolfyn damned lonely fate beast mated women gain strength strength needed rescue royal parents man craved reda heated sizzling touch little time left dayn either embrace wolf save kingdom fight save woman,282,3.79,239,2934,cover_images/processed_image_19592.jpg
Paperback,adventure romance mad science deep heart damaged machine castle heterodyne agatha discovers mother secret laboratory waiting inside relentless guardian seems,152,4.42,47,1142,cover_images/processed_image_19628.jpg
Paperback,exclusive girls boarding school girl records intimate thoughts diary object obsession lucy blake lucy friendship new disturbing classmate ernessa mysterious presence pale skin hypnotic eyes around swirl dark secrets series ominous disasters fear spreads school fantasy reality mingle waking nightmare gothic menace fueled lusts fears center diary question haunts read ernessa really vampire narrator trapped fevered imagination,250,3.51,318,2623,cover_images/processed_image_19635.jpg
Kindle Edition,death sad love agony max next job got name died lead soul heaven bringer max started pleading often son james would look would comfort grieved loss father james sensitive young man would take father death hard well bringers sort thing exclusive role usher souls heaven allowed get involved earthly affairs however saw james felt something never felt emotion shock bringer bringers emotions yet could help found drawn inexorably towards james life every instinct ever every law universe fell love bringer terrifying fall,237,3.71,103,1110,cover_images/processed_image_19711.jpg
Paperback,sequel humanity forced face future advanced could imagined wants survive nineteen months passed since ai turned humanity subsequently destroyed meantime james keats turned ai powers easily controlled operating system thel left planet spent six months vacationing venus newly terraformed without consent knowledge governing council ai deleted message sent abyss space search companion answered alien force dwarfing earth way find ai stopped communicating keats company assume intentions hostile finds truth one thing sure nothing ever welcome era welcome singularity,240,3.66,117,1896,cover_images/processed_image_19791.jpg
ebook,wounded dragon drops sky crash front marina explosion fire reasonable thing woman saves life marina knows moment may last yet deny connection alluring creature fierce dragon lords appear leading dangerous assassin hiding place truth dragon unveiled consequences falling beast gifts marina wonders never seen world,313,3.86,133,1954,cover_images/processed_image_19815.jpg
Paperback,arriving town lenos lawrence holo take respite travels north true businessman never rests long opportunity profit presents lawrence one could fulfill dreams owning establishment always promise great reward carries great risk risk never greater one plans use wisewolf collateral lawrence holo feel ties binding stretched thin time come pair go separate ways,250,4.35,32,1325,cover_images/processed_image_19821.jpg
